id;id_pfm;alias;rib;created_date
1;IB connecting;protocol azure fuchsia;Rial microchip;2022-02-28
2;Soap Handcrafted;Route drive;overriding drive;2022-02-28
3;Maryland;Down-sized;transmitting Intelligent;2022-03-01
4;archive West;calculating Benin bifurcated;index Ouguiya AGP;2022-02-28
5;Factors;Rapid;EXE;2022-02-28
6;yellow;Uzbekistan;Centralized mission-critical;2022-02-28
7;orchestrate virtual Jordan;Mews Up-sized connect;Arkansas Brand navigate;2022-03-01
8;Representative SSL Chief;architect transmitter;copy internet Loan;2022-03-01
9;National;Response Rustic ADP;optimize;2022-02-28
10;Marketing Right-sized generate;core blue;Hat Pound eyeballs;2022-02-28
